,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,address,latitude,longitude
2,1,CANTONMENT RD,2,2010,N,Y,N,N,N,N,0,1 CANTONMENT RD,1.275498954,103.8413985
7,1,EUNOS CRES,14,1977,Y,N,N,Y,N,N,247,1 EUNOS CRES,1.320657645,103.9024634
9,1,GEYLANG SERAI,2,2009,N,Y,N,N,N,N,0,1 GEYLANG SERAI,1.316678856,103.8981027
12,1,HOLLAND CL,13,1973,Y,N,N,Y,N,N,319,1 HOLLAND CL,1.309219378,103.7967324
14,1,JLN KUKOH,17,1969,Y,N,Y,Y,N,N,84,1 JLN KUKOH,1.288252092,103.8399403
16,1,JOO CHIAT RD,5,1984,N,Y,N,N,N,N,0,1 JOO CHIAT RD,1.315876534,103.8983781
22,1,MAUDE RD,14,1970,Y,Y,N,Y,N,N,176,1 MAUDE RD,1.307582302,103.8589674
26,1,TAMPINES WALK,7,2016,N,N,N,Y,N,N,0,1 TAMPINES WALK,1.353300307,103.9405254
30,1,THOMSON RD,4,1977,Y,Y,N,N,N,N,8,1 THOMSON RD,1.325595948,103.8425716
33,1,WOODLANDS IND PK E3,2,1994,N,N,N,Y,N,N,0,1 WOODLANDS IND PK E3,1.454813455,103.8000692
34,1A,C'WEALTH DR,1,2010,N,N,Y,N,N,N,0,1A C'WEALTH DR,1.299730716,103.7978355
36,1A,EUNOS CRES,2,1981,Y,Y,N,N,N,N,2,1A EUNOS CRES,1.321288182,103.9027263
37,1A,EVERTON PK,1,2000,N,N,N,N,N,Y,0,1A EVERTON PK,1.277190575,103.8402577
38,1A,TELOK PAKU RD,5,2015,N,N,N,N,Y,N,0,1A TELOK PAKU RD,1.387966586,103.9882989
39,1A,TELOK BLANGAH CRES,1,2005,N,N,N,N,N,Y,0,1A TELOK BLANGAH CRES,1.279606818,103.8177905
40,1A,THOMSON RD,1,1980,N,Y,N,N,N,N,0,1A THOMSON RD,1.325741734,103.8430344
41,1A,TOH YI DR,4,1988,N,N,N,N,Y,N,0,1A TOH YI DR,1.33904481,103.7743004
48,10,BENDEMEER RD,7,2016,N,N,N,N,Y,N,0,10 BENDEMEER RD,1.315509938,103.860953
49,10,CANTONMENT CL,5,2000,N,N,N,Y,Y,N,0,10 CANTONMENT CL,1.274569743,103.8392121
51,10,DAKOTA CRES,7,1958,Y,N,N,Y,N,N,53,10 DAKOTA CRES,1.306341146,103.8844582
63,10,NTH BRIDGE RD,16,1973,Y,Y,N,N,N,N,224,10 NTH BRIDGE RD,1.30555234,103.8635628
70,10,WOODLANDS AVE 8,4,2000,N,N,N,Y,N,N,0,10 WOODLANDS AVE 8,1.454287141,103.8002621
71,10A,BEDOK STH AVE 2,5,1992,N,N,N,N,Y,N,0,10A BEDOK STH AVE 2,1.322585616,103.9368494
72,10A,BENDEMEER RD,40,2016,Y,N,N,N,N,N,220,10A BENDEMEER RD,1.314991389,103.8605054
74,10A,CHAI CHEE RD,1,1999,N,N,N,N,N,Y,0,10A CHAI CHEE RD,1.327103643,103.9249213
75,10A,HOLLAND DR,6,1997,N,N,N,N,Y,N,0,10A HOLLAND DR,1.308404471,103.7936975
76,10A,JLN KUKOH,1,1999,N,N,N,N,N,Y,0,10A JLN KUKOH,1.286837933,103.8386741
77,10A,LOR 7 TOA PAYOH,5,1997,N,N,N,N,Y,N,0,10A LOR 7 TOA PAYOH,1.337171643,103.8577935
78,10B,BENDEMEER RD,40,2016,Y,N,N,N,N,N,184,10B BENDEMEER RD,1.315477153,103.8603129
82,10C,BENDEMEER RD,40,2016,Y,N,N,N,N,N,220,10C BENDEMEER RD,1.315842362,103.8606445
84,10C,LOR 7 TOA PAYOH,1,1997,N,N,N,N,N,Y,0,10C LOR 7 TOA PAYOH,1.33691013,103.8580493
88,100,ALJUNIED CRES,12,1977,Y,N,N,Y,N,N,198,100 ALJUNIED CRES,1.320966199,103.8841674
99,101,BIDADARI PK DR,2,2019,N,N,N,Y,Y,Y,0,101 BIDADARI PK DR,1.336236716,103.8712876
103,101,CANBERRA ST,1,2019,N,N,N,Y,N,N,0,101 CANBERRA ST,1.451399986,103.83086
113,101,PUNGGOL FIELD,4,2001,N,N,N,N,Y,N,0,101 PUNGGOL FIELD,1.398481661,103.9058081
117,101,SPOTTISWOODE PK RD,20,1973,Y,N,N,N,N,N,76,101 SPOTTISWOODE PK RD,1.275241413,103.8360458
124,101A,BIDADARI PK DR,16,2020,Y,N,N,N,N,N,295,101A BIDADARI PK DR,1.336854917,103.8709976
125,101A,CANBERRA ST,15,2019,Y,N,N,N,N,N,164,101A CANBERRA ST,1.451738928,103.8304541
128,101A,YISHUN AVE 5,1,1984,N,Y,N,N,N,N,0,101A YISHUN AVE 5,1.43113229,103.8283671
129,101B,CANBERRA ST,16,2019,Y,N,N,N,N,N,240,101B CANBERRA ST,1.451663104,103.8311749
132,101B,YISHUN AVE 5,1,1984,N,Y,N,N,N,N,0,101B YISHUN AVE 5,1.431391617,103.8282301
133,101C,LOR 2 TOA PAYOH,4,1992,N,N,N,N,Y,N,0,101C LOR 2 TOA PAYOH,1.339260187,103.8470638
135,101C,YISHUN AVE 5,1,1984,N,Y,N,N,N,N,0,101C YISHUN AVE 5,1.431532551,103.8279876
145,102,CANBERRA ST,6,2019,N,N,N,N,Y,N,0,102 CANBERRA ST,1.451834491,103.8321067
147,102,DEPOT RD,1,2017,N,N,N,N,N,Y,0,102 DEPOT RD,1.280337007,103.8135102
157,102,PUNGGOL FIELD,1,2001,N,N,N,N,N,Y,0,102 PUNGGOL FIELD,1.398280578,103.9056544
161,102,SPOTTISWOODE PK RD,20,1973,Y,Y,N,N,N,N,76,102 SPOTTISWOODE PK RD,1.27472973,103.8362355
166,102,YISHUN AVE 5,4,1984,N,Y,N,N,N,N,0,102 YISHUN AVE 5,1.430618304,103.828763
167,102A,BIDADARI PK DR,16,2020,Y,N,N,N,N,Y,205,102A BIDADARI PK DR,1.337356638,103.8715018
168,102A,CANBERRA ST,17,2019,Y,N,N,N,N,N,190,102A CANBERRA ST,1.451193905,103.8322276
169,102A,DEPOT RD,21,2016,Y,N,N,Y,N,N,114,102A DEPOT RD,1.280291346,103.8133324
171,102A,RIVERVALE WALK,5,1997,N,N,N,N,Y,N,0,102A RIVERVALE WALK,1.38215139,103.9000751
172,102B,BIDADARI PK DR,16,2020,Y,N,N,N,N,N,200,102B BIDADARI PK DR,1.336220454,103.8718471
173,102B,CANBERRA ST,16,2019,Y,N,N,N,N,N,210,102B CANBERRA ST,1.451239704,103.8314364
175,102C,CANBERRA ST,1,2020,N,N,N,N,N,Y,0,102C CANBERRA ST,1.45155993,103.8317651
179,103,ALJUNIED CRES,12,1977,Y,N,N,N,N,N,154,103 ALJUNIED CRES,1.320516922,103.8832703
186,103,C'WEALTH CRES,10,1964,Y,N,N,N,N,N,99,103 C'WEALTH CRES,1.30834597,103.800214
187,103,CANBERRA ST,1,2020,N,N,N,N,N,Y,0,103 CANBERRA ST,1.450676054,103.8307576
189,103,EDGEFIELD PLAINS,1,2001,N,N,N,N,N,Y,0,103 EDGEFIELD PLAINS,1.397473398,103.9048218
196,103,LOR 1 TOA PAYOH,10,1967,Y,N,N,Y,N,N,159,103 LOR 1 TOA PAYOH,1.34010929,103.8481846
207,103A,BIDADARI PK DR,17,2020,Y,N,N,N,N,N,116,103A BIDADARI PK DR,1.335611337,103.8717283
208,103A,CANBERRA ST,15,2019,Y,N,N,N,N,N,224,103A CANBERRA ST,1.451030061,103.830534
211,103A,RIVERVALE WALK,5,1998,N,N,N,N,Y,N,0,103A RIVERVALE WALK,1.383215089,103.9006576
212,103B,BIDADARI PK DR,16,2020,Y,N,N,N,N,N,152,103B BIDADARI PK DR,1.335089857,103.8713375
213,103B,CANBERRA ST,15,2019,Y,N,N,N,N,N,224,103B CANBERRA ST,1.450565995,103.8312387
223,104,C'WEALTH CRES,10,1964,Y,N,N,Y,N,N,99,104 C'WEALTH CRES,1.307958753,103.7999769
224,104,CANBERRA ST,1,2017,N,N,N,N,N,Y,0,104 CANBERRA ST,1.450279674,103.8318969
230,104,JLN BT MERAH,12,1967,Y,N,N,N,N,N,216,104 JLN BT MERAH,1.281025155,103.8244609
234,104,LOR 1 TOA PAYOH,10,1967,Y,N,N,N,N,N,160,104 LOR 1 TOA PAYOH,1.340108877,103.8491078
245,104,YISHUN RING RD,1,1984,N,N,Y,N,N,N,0,104 YISHUN RING RD,1.431447752,103.8285377
247,104A,BIDADARI PK DR,17,2020,Y,N,N,N,N,N,290,104A BIDADARI PK DR,1.335321978,103.870934
248,104A,CANBERRA ST,15,2017,Y,N,N,N,N,N,140,104A CANBERRA ST,1.450352258,103.8322624
251,104A,HENDERSON CRES,5,1997,N,N,N,N,Y,N,0,104A HENDERSON CRES,1.28903386,103.8214872
253,104B,CANBERRA ST,15,2017,Y,N,N,N,N,N,168,104B CANBERRA ST,1.450074217,103.831377
256,104C,ANG MO KIO ST 11,5,1994,N,N,N,N,Y,N,0,104C ANG MO KIO ST 11,1.371933159,103.8383303
257,104C,CANBERRA ST,15,2017,Y,N,N,N,N,N,137,104C CANBERRA ST,1.449709995,103.831776
258,104C,DEPOT RD,7,1997,N,Y,N,Y,Y,N,0,104C DEPOT RD,1.280546807,103.8115715
259,104D,CANBERRA ST,15,2017,Y,N,N,N,N,N,167,104D CANBERRA ST,1.449856324,103.832367
265,105,BIDADARI PK DR,1,2019,N,N,N,N,N,Y,0,105 BIDADARI PK DR,1.333784436,103.8704083
268,105,CANBERRA ST,3,2017,N,Y,N,Y,N,N,0,105 CANBERRA ST,1.448855647,103.8324092
271,105,EDGEFIELD PLAINS,4,2001,N,N,N,N,Y,N,0,105 EDGEFIELD PLAINS,1.397229386,103.9055909
274,105,HOUGANG AVE 1,4,2005,N,N,Y,N,Y,N,0,105 HOUGANG AVE 1,1.354082739,103.8901304
275,105,JLN BT MERAH,12,1967,Y,Y,N,Y,N,N,324,105 JLN BT MERAH,1.280632398,103.8249355
279,105,LOR 1 TOA PAYOH,10,1967,Y,N,N,N,N,N,160,105 LOR 1 TOA PAYOH,1.340422641,103.8491094
285,105,SPOTTISWOODE PK RD,25,1976,Y,N,N,N,N,N,94,105 SPOTTISWOODE PK RD,1.273800756,103.8344822
290,105,YISHUN RING RD,1,1984,N,N,Y,N,N,N,0,105 YISHUN RING RD,1.431718367,103.8281143
291,105A,BIDADARI PK DR,17,2019,Y,Y,N,N,N,N,64,105A BIDADARI PK DR,1.334006992,103.8704306
292,105A,DEPOT RD,21,2016,Y,N,N,N,N,N,160,105A DEPOT RD,1.281071165,103.8114057
294,105A,JLN BT MERAH,1,2003,N,N,N,N,N,Y,0,105A JLN BT MERAH,1.280661187,103.8242584
295,105B,BIDADARI PK DR,17,2019,Y,N,N,N,N,N,92,105B BIDADARI PK DR,1.333474039,103.8704904
296,105B,DEPOT RD,1,2017,N,N,N,N,N,Y,0,105B DEPOT RD,1.281108068,103.811133
305,106,BIDADARI PK DR,3,2019,N,Y,N,N,Y,N,0,106 BIDADARI PK DR,1.333699478,103.8707961
308,106,C'WEALTH CRES,10,1964,Y,N,N,N,N,N,99,106 C'WEALTH CRES,1.308226033,103.7995913
309,106,CANBERRA ST,4,2016,N,N,N,N,Y,N,0,106 CANBERRA ST,1.449138432,103.8327734
310,106,CLEMENTI ST 12,4,1985,N,Y,N,N,N,N,0,106 CLEMENTI ST 12,1.321914673,103.7698152
315,106,JLN BT MERAH,12,1967,Y,N,N,N,N,N,330,106 JLN BT MERAH,1.280242587,103.8245236
319,106,LOR 1 TOA PAYOH,10,1967,Y,N,N,Y,N,N,158,106 LOR 1 TOA PAYOH,1.340421956,103.848185
322,106,PUNGGOL FIELD,1,2002,N,N,N,N,N,Y,0,106 PUNGGOL FIELD,1.396391853,103.9082918
332,106A,BIDADARI PK DR,17,2019,Y,Y,N,Y,N,N,107,106A BIDADARI PK DR,1.334139,103.8712597
333,106A,CANBERRA ST,15,2016,Y,N,N,N,N,N,252,106A CANBERRA ST,1.448503352,103.8331004
335,106A,HENDERSON CRES,2,1972,N,Y,N,N,N,N,0,106A HENDERSON CRES,1.288993356,103.8223452
336,106A,LOR 1 TOA PAYOH,1,2005,N,N,N,N,N,Y,0,106A LOR 1 TOA PAYOH,1.340578954,103.8479348
338,106B,BIDADARI PK DR,17,2019,Y,N,N,Y,N,N,87,106B BIDADARI PK DR,1.333642111,103.8711648
339,106B,CANBERRA ST,15,2016,Y,N,N,N,N,N,252,106B CANBERRA ST,1.448038852,103.8332289
351,107,C'WEALTH CRES,10,1964,Y,N,N,Y,N,N,99,107 C'WEALTH CRES,1.307862447,103.7993123
352,107,CANBERRA ST,1,2017,N,N,N,N,N,Y,0,107 CANBERRA ST,1.449676077,103.8328082
353,107,CLEMENTI ST 12,1,1984,N,Y,N,N,N,N,0,107 CLEMENTI ST 12,1.322254751,103.7699607
355,107,HOUGANG AVE 1,1,1982,N,Y,N,N,N,N,0,107 HOUGANG AVE 1,1.353434191,103.8906697
363,107,PUNGGOL FIELD,3,2001,N,N,N,N,Y,N,0,107 PUNGGOL FIELD,1.396934565,103.9077067
367,107,SPOTTISWOODE PK RD,25,1976,Y,N,N,N,N,N,94,107 SPOTTISWOODE PK RD,1.273594959,103.8349179
373,107A,BIDADARI PK DR,16,2021,Y,N,N,N,N,N,145,107A BIDADARI PK DR,1.334779768,103.8723991
374,107A,CANBERRA ST,15,2017,Y,N,N,Y,N,N,139,107A CANBERRA ST,1.449904746,103.8329792
375,107A,CLEMENTI ST 12,1,1984,N,Y,N,N,N,N,0,107A CLEMENTI ST 12,1.322125918,103.7700694
376,107A,C'WEALTH CRES,1,2003,N,N,N,N,N,Y,0,107A C'WEALTH CRES,1.307946918,103.7996441
378,107A,JLN BT MERAH,1,2003,N,N,N,N,N,Y,0,107A JLN BT MERAH,1.279865976,103.8255259
379,107A,RIVERVALE WALK,1,1999,N,N,N,N,N,Y,0,107A RIVERVALE WALK,1.383211335,103.9000837
380,107B,BIDADARI PK DR,16,2021,Y,N,N,N,N,N,78,107B BIDADARI PK DR,1.334371552,103.8721172
381,107B,CANBERRA ST,15,2017,Y,N,N,N,N,N,140,107B CANBERRA ST,1.449165163,103.8334973
383,107C,CANBERRA ST,15,2017,Y,N,N,N,N,N,139,107C CANBERRA ST,1.448557823,103.8338648
394,108,CANBERRA WALK,6,2017,N,N,N,N,Y,N,0,108 CANBERRA WALK,1.447766114,103.832223
395,108,CLEMENTI ST 11,1,1984,N,Y,N,N,N,N,0,108 CLEMENTI ST 11,1.322123929,103.7702659
396,108,DEPOT RD,3,2004,N,Y,Y,N,N,N,0,108 DEPOT RD,1.280966807,103.8102982
407,108,PUNGGOL FIELD,1,2002,N,Y,N,N,N,N,0,108 PUNGGOL FIELD,1.396498616,103.9088663
411,108,SPOTTISWOODE PK RD,5,1976,N,Y,N,Y,Y,N,0,108 SPOTTISWOODE PK RD,1.273942277,103.8356593
416,108A,BIDADARI PK DR,16,2021,Y,N,N,N,N,N,156,108A BIDADARI PK DR,1.334354873,103.8716868
417,108A,CANBERRA WALK,14,2017,Y,N,N,N,N,N,112,108A CANBERRA WALK,1.447760566,103.8312747
418,108A,CLEMENTI ST 11,1,1984,N,Y,N,N,N,N,0,108A CLEMENTI ST 11,1.322258385,103.7701466
419,108A,DEPOT RD,5,2004,N,N,N,Y,Y,N,0,108A DEPOT RD,1.280864939,103.8101426
420,108A,MCNAIR RD,5,2003,N,N,N,N,Y,N,0,108A MCNAIR RD,1.320554197,103.8594077
421,108A,PASIR RIS ST 12,5,2001,N,N,N,N,Y,N,0,108A PASIR RIS ST 12,1.367972957,103.9570169
422,108B,BIDADARI PK DR,17,2021,Y,N,N,N,N,N,62,108B BIDADARI PK DR,1.333672084,103.8720107
423,108B,CANBERRA WALK,14,2017,Y,N,N,N,N,N,117,108B CANBERRA WALK,1.448189517,103.8318569
425,108C,CANBERRA WALK,13,2017,Y,N,N,N,N,N,108,108C CANBERRA WALK,1.447353301,103.8317962
427,108D,CANBERRA WALK,1,2018,N,N,N,N,N,Y,0,108D CANBERRA WALK,1.447771937,103.8319071
432,109,BIDADARI PK DR,5,2021,N,N,N,N,Y,N,0,109 BIDADARI PK DR,1.334233695,103.8725746
437,109,CANBERRA WALK,6,2021,N,N,N,Y,Y,Y,0,109 CANBERRA WALK,1.448617678,103.8297306
448,109,PUNGGOL FIELD,3,2001,N,N,N,N,Y,N,0,109 PUNGGOL FIELD,1.395438127,103.9095324
458,109A,BIDADARI PK DR,17,2021,Y,N,N,N,N,N,62,109A BIDADARI PK DR,1.333455347,103.8723239
459,109A,CANBERRA WALK,13,2021,Y,N,N,N,N,N,72,109A CANBERRA WALK,1.448021176,103.8301365
460,109A,CLEMENTI ST 11,6,1989,N,N,N,N,Y,N,0,109A CLEMENTI ST 11,1.321669866,103.7703516
463,109B,BIDADARI PK DR,17,2021,Y,N,N,N,N,N,62,109B BIDADARI PK DR,1.333406807,103.8726703
464,109B,CANBERRA WALK,13,2021,Y,N,N,N,N,N,83,109B CANBERRA WALK,1.447838334,103.8296649
467,109C,CANBERRA WALK,13,2021,Y,N,N,N,N,N,83,109C CANBERRA WALK,1.448331801,103.8293351
469,109D,CANBERRA WALK,13,2021,Y,N,N,N,N,N,72,109D CANBERRA WALK,1.449043503,103.8295652
471,11,BENDEMEER RD,1,2017,N,N,N,N,N,Y,0,11 BENDEMEER RD,1.315320271,103.8602658
486,11,TELOK BLANGAH CRES,1,2010,N,N,Y,N,N,N,0,11 TELOK BLANGAH CRES,1.277368132,103.8186515
489,11,YORK HILL,12,1969,Y,Y,N,Y,N,N,198,11 YORK HILL,1.28726394,103.8380303
490,11A,BOON TIONG RD,5,2014,N,Y,N,N,Y,N,0,11A BOON TIONG RD,1.286365781,103.8287899
491,11A,EUNOS CRES,1,2010,N,N,N,N,N,Y,0,11A EUNOS CRES,1.321751172,103.903659
492,11A,LOR 8 TOA PAYOH,5,1996,N,N,N,N,Y,N,0,11A LOR 8 TOA PAYOH,1.336648114,103.859295
493,11A,PINE CL,5,1998,N,N,N,N,Y,N,0,11A PINE CL,1.308529027,103.8829526
494,11B,BOON TIONG RD,1,2015,N,Y,N,N,N,N,0,11B BOON TIONG RD,1.286136327,103.8294805
507,110,JLN BT MERAH,12,1969,Y,N,N,N,N,N,167,110 JLN BT MERAH,1.279747556,103.8266982
513,110,PUNGGOL FIELD,1,2002,N,N,N,N,N,Y,0,110 PUNGGOL FIELD,1.395908522,103.9088823
523,110A,BIDADARI PK DR,16,2021,Y,N,N,N,N,N,140,110A BIDADARI PK DR,1.333484162,103.8731472
524,110A,DEPOT RD,26,2016,Y,N,N,N,N,N,144,110A DEPOT RD,1.281428248,103.8092428
525,110A,LOR 1 TOA PAYOH,4,1998,N,N,N,N,Y,N,0,110A LOR 1 TOA PAYOH,1.34194906,103.8461574
527,110B,BIDADARI PK DR,16,2021,Y,N,N,N,N,N,132,110B BIDADARI PK DR,1.334068254,103.8732659
528,110B,DEPOT RD,1,2017,N,N,N,N,N,Y,0,110B DEPOT RD,1.281486592,103.8087297
545,111,JLN BT MERAH,2,1969,Y,Y,N,N,N,N,2,111 JLN BT MERAH,1.280321141,103.8261859
560,111A,ALKAFF CRES,16,2021,Y,N,N,N,N,N,99,111A ALKAFF CRES,1.334694977,103.8731228
562,111A,RIVERVALE WALK,5,1998,N,N,N,N,Y,N,0,111A RIVERVALE WALK,1.383764453,103.9009104
563,111A,WHAMPOA RD,1,1982,N,Y,N,N,N,N,0,111A WHAMPOA RD,1.326125529,103.8556727
564,111B,ALKAFF CRES,16,2021,Y,N,N,N,N,N,114,111B ALKAFF CRES,1.335005345,103.8733306
578,112,JLN BT MERAH,2,2013,N,N,Y,N,N,N,0,112 JLN BT MERAH,1.280004801,103.8260133
594,112A,ALKAFF CRES,16,2021,Y,N,N,N,N,N,112,112A ALKAFF CRES,1.335439414,103.8734032
596,112A,WHAMPOA RD,6,1993,N,N,N,N,Y,N,0,112A WHAMPOA RD,1.326566391,103.8567471
597,112B,ALKAFF CRES,16,2021,Y,N,N,N,N,N,90,112B ALKAFF CRES,1.335862314,103.873504
599,112C,DEPOT RD,6,2001,N,N,N,N,Y,N,0,112C DEPOT RD,1.28131575,103.8078619
600,113,ALKAFF CRES,3,2021,N,N,N,N,Y,Y,0,113 ALKAFF CRES,1.3352515,103.8729432
601,113,ALJUNIED AVE 2,2,1978,Y,Y,N,N,N,N,3,113 ALJUNIED AVE 2,1.320525959,103.8861593
611,113,EDGEFIELD PLAINS,1,2001,N,N,N,N,N,Y,0,113 EDGEFIELD PLAINS,1.396011592,103.9071815
618,113,MCNAIR RD,6,2016,N,N,N,Y,Y,N,0,113 MCNAIR RD,1.32100687,103.8598243
631,113A,ALKAFF CRES,16,2021,Y,N,N,N,N,N,85,113A ALKAFF CRES,1.335959428,103.873151
632,113A,JLN BT MERAH,4,2003,N,N,N,N,Y,N,0,113A JLN BT MERAH,1.280249189,103.8252731
633,113A,MCNAIR RD,35,2016,Y,N,N,N,N,N,198,113A MCNAIR RD,1.321425756,103.8601947
634,113B,ALKAFF CRES,16,2021,Y,N,N,N,N,N,68,113B ALKAFF CRES,1.335995116,103.872561
635,113B,MCNAIR RD,35,2016,Y,N,N,N,N,N,204,113B MCNAIR RD,1.321181401,103.8605682
636,113C,MCNAIR RD,28,2016,Y,N,N,N,N,N,189,113C MCNAIR RD,1.320882353,103.8603317
637,113D,MCNAIR RD,28,2016,Y,N,N,N,N,N,270,113D MCNAIR RD,1.320148599,103.8597637
638,114,ALJUNIED AVE 2,3,1978,N,Y,N,N,N,N,0,114 ALJUNIED AVE 2,1.321724552,103.8868071
645,114,CANBERRA WALK,1,2018,N,N,N,N,N,Y,0,114 CANBERRA WALK,1.446637039,103.8294797
656,114,MCNAIR RD,1,2016,N,N,N,N,N,Y,0,114 MCNAIR RD,1.320944814,103.8605201
657,114,PASIR RIS RD,2,1976,Y,N,N,N,N,N,1,114 PASIR RIS RD,1.383098009,103.9446024
668,114A,ALKAFF CRES,16,2021,Y,N,N,N,N,N,96,114A ALKAFF CRES,1.33562146,103.8727087
669,114A,BEDOK NTH ST 2,3,2003,N,N,N,N,Y,N,0,114A BEDOK NTH ST 2,1.330751766,103.9356002
670,114A,LOR 3 GEYLANG,5,1988,N,N,N,N,Y,N,0,114A LOR 3 GEYLANG,1.312428334,103.8744414
671,114A,PASIR RIS RD,4,2021,Y,N,N,N,N,N,1,114A PASIR RIS RD,1.383040586,103.9447018
672,114B,ALKAFF CRES,16,2021,Y,N,N,N,N,N,93,114B ALKAFF CRES,1.335207165,103.8725961
673,115,ALJUNIED AVE 2,2,1978,Y,Y,N,N,N,N,3,115 ALJUNIED AVE 2,1.32131988,103.8872777
674,115,ANG MO KIO AVE 4,11,1977,Y,N,N,Y,N,N,196,115 ANG MO KIO AVE 4,1.372955703,103.8364001
679,115,BT MERAH VIEW,1,1973,N,N,Y,N,N,N,0,115 BT MERAH VIEW,1.285504456,103.8218233
682,115,CANBERRA WALK,5,2017,N,Y,N,N,Y,N,0,115 CANBERRA WALK,1.446081882,103.8287399
687,115,JLN BT MERAH,12,1968,Y,Y,N,N,N,N,154,115 JLN BT MERAH,1.281081396,103.8264893
688,115,JLN AYER,6,2021,N,N,N,N,Y,Y,0,115 JLN AYER,1.311440187,103.8733226
698,115,SIMEI ST 1,5,1989,N,N,N,N,Y,N,0,115 SIMEI ST 1,1.343193008,103.950444
702,115A,ALKAFF CRES,17,2019,Y,Y,N,N,N,N,96,115A ALKAFF CRES,1.336452836,103.8727609
703,115A,BEDOK NTH RD,1,2005,N,N,N,N,N,Y,0,115A BEDOK NTH RD,1.331552372,103.9375363
704,115A,CANBERRA WALK,11,2017,Y,N,N,N,N,N,140,115A CANBERRA WALK,1.446622152,103.8291408
705,115A,HO CHING RD,5,1997,N,N,N,N,Y,N,0,115A HO CHING RD,1.334028569,103.7245394
707,115B,ALKAFF CRES,2,2020,N,Y,N,N,N,N,0,115B ALKAFF CRES,1.336863123,103.8726204
708,115B,CANBERRA WALK,11,2017,Y,N,N,Y,N,N,140,115B CANBERRA WALK,1.446311229,103.8294169
709,115B,JLN AYER,26,2021,Y,N,N,N,N,N,129,115B JLN AYER,1.311741921,103.8730925
711,115C,ALKAFF CRES,17,2019,Y,Y,N,Y,N,N,96,115C ALKAFF CRES,1.337228475,103.8728866
712,115C,CANBERRA WALK,11,2017,Y,N,N,Y,N,N,100,115C CANBERRA WALK,1.4460759,103.8298262
714,115D,CANBERRA WALK,11,2017,Y,N,N,Y,N,N,100,115D CANBERRA WALK,1.445543572,103.8289916
715,116,ALJUNIED AVE 2,2,1978,Y,Y,N,N,N,N,3,116 ALJUNIED AVE 2,1.321245705,103.8867006
723,116,C'WEALTH CRES,2,1965,N,Y,N,N,N,N,0,116 C'WEALTH CRES,1.306972087,103.8000289
726,116,HO CHING RD,10,1971,Y,N,N,N,N,N,160,116 HO CHING RD,1.334809879,103.7232574
728,116,JLN TENTERAM,6,2016,N,Y,N,Y,Y,N,0,116 JLN TENTERAM,1.327699937,103.8612364
729,116,JLN BT MERAH,12,1968,Y,Y,N,N,N,N,154,116 JLN BT MERAH,1.281410391,103.8266598
741,116A,BT MERAH CTRL,1,2006,N,N,N,N,N,Y,0,116A BT MERAH CTRL,1.284288239,103.8152892
742,116A,BEDOK NTH RD,3,2005,N,N,N,N,Y,N,0,116A BEDOK NTH RD,1.330995226,103.937244
743,116A,CANBERRA CRES,11,2018,Y,N,N,N,N,N,84,116A CANBERRA CRES,1.445379067,103.8300204
746,116B,JLN TENTERAM,31,2016,Y,Y,N,N,N,N,174,116B JLN TENTERAM,1.32754908,103.8608074
749,116D,RIVERVALE DR,1,1999,N,N,N,N,N,Y,0,116D RIVERVALE DR,1.382889929,103.9024413
750,117,ALKAFF CRES,3,2019,N,N,N,N,Y,N,0,117 ALKAFF CRES,1.336904653,103.873161
751,117,ALJUNIED AVE 2,1,1978,N,N,Y,N,N,N,0,117 ALJUNIED AVE 2,1.320646368,103.8870241
757,117,BT MERAH VIEW,16,1973,Y,N,N,Y,N,N,280,117 BT MERAH VIEW,1.284301055,103.8219072
759,117,C'WEALTH DR,2,1965,N,Y,N,Y,N,N,0,117 C'WEALTH DR,1.30659245,103.80027
760,117,CANBERRA CRES,4,2018,N,N,N,N,Y,N,0,117 CANBERRA CRES,1.445108822,103.8299145
763,117,HO CHING RD,10,1971,Y,N,N,N,N,N,160,117 HO CHING RD,1.335096949,103.7230732
765,117,JLN BT MERAH,12,1968,Y,N,N,Y,N,N,154,117 JLN BT MERAH,1.281707006,103.8268395
766,117,JLN TENTERAM,1,2017,N,N,N,N,N,Y,0,117 JLN TENTERAM,1.328335242,103.8616527
774,117,TAMPINES ST 11,11,2014,Y,N,N,Y,N,N,149,117 TAMPINES ST 11,1.345235925,103.9461976
777,117A,CANBERRA CRES,11,2019,Y,N,N,N,N,N,110,117A CANBERRA CRES,1.444979656,103.8305186
778,117A,HO CHING RD,1,2003,N,N,N,N,N,Y,0,117A HO CHING RD,1.335374415,103.7234756
779,117A,JLN MEMBINA,6,2001,N,N,N,N,Y,N,0,117A JLN MEMBINA,1.281951051,103.8270184
780,117A,JLN TENTERAM,30,2016,Y,N,N,N,N,N,203,117A JLN TENTERAM,1.328233584,103.8611384
782,117B,CANBERRA CRES,11,2019,Y,N,N,Y,N,N,87,117B CANBERRA CRES,1.444795698,103.8301596
783,117B,JLN TENTERAM,30,2016,Y,N,N,N,N,N,174,117B JLN TENTERAM,1.328164948,103.8608019
786,117D,RIVERVALE DR,5,1998,N,N,N,N,Y,N,0,117D RIVERVALE DR,1.382819389,103.9030687
