,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,address,latitude,longitude
7923,506,WELLINGTON CIRCLE,5,2000,N,N,N,N,Y,N,0,506 WELLINGTON CIRCLE,1.452411187,103.8235658
7925,506,YISHUN AVE 4,8,2016,N,N,N,N,Y,Y,0,506 YISHUN AVE 4,1.414871863,103.8403391
7928,506A,YISHUN AVE 4,13,2016,Y,N,N,N,N,N,96,506A YISHUN AVE 4,1.415931318,103.8400149
7930,506B,YISHUN AVE 4,13,2016,Y,N,N,N,N,N,96,506B YISHUN AVE 4,1.415818689,103.8406788
7931,506C,YISHUN AVE 4,13,2016,Y,N,N,N,N,N,106,506C YISHUN AVE 4,1.415445964,103.8404557
7934,507,BISHAN ST 11,2,1989,N,Y,N,N,N,N,0,507 BISHAN ST 11,1.348899196,103.849279
7942,507,TAMPINES CTRL 1,4,1989,N,N,N,N,Y,N,0,507 TAMPINES CTRL 1,1.355185653,103.9459252
7943,507,WELLINGTON CIRCLE,1,2000,N,N,N,N,N,Y,0,507 WELLINGTON CIRCLE,1.452003222,103.8235587
7946,507,YISHUN AVE 4,1,2016,N,Y,N,N,N,N,0,507 YISHUN AVE 4,1.415174131,103.8398278
7948,507A,YISHUN AVE 4,13,2016,Y,N,N,N,N,N,84,507A YISHUN AVE 4,1.415287923,103.8398465
7950,507B,YISHUN AVE 4,1,2017,N,N,N,N,N,Y,0,507B YISHUN AVE 4,1.415658787,103.8400904
7955,508,BISHAN ST 11,2,1989,N,Y,N,N,N,N,0,508 BISHAN ST 11,1.348643756,103.8493144
7965,508,WELLINGTON CIRCLE,5,2003,N,N,N,Y,Y,N,0,508 WELLINGTON CIRCLE,1.453067885,103.8200766
7968,508A,YISHUN AVE 4,13,2016,Y,N,N,N,N,N,132,508A YISHUN AVE 4,1.414781932,103.8395516
7970,508B,YISHUN AVE 4,13,2016,Y,N,N,Y,N,N,144,508B YISHUN AVE 4,1.414291038,103.8398399
7974,509,BISHAN ST 11,2,1989,N,Y,N,N,N,N,0,509 BISHAN ST 11,1.348629973,103.849572
7979,509,JURONG WEST ST 51,2,1988,N,Y,N,Y,N,N,0,509 JURONG WEST ST 51,1.348727741,103.7190771
7983,509,WELLINGTON CIRCLE,1,2004,N,N,N,N,N,Y,0,509 WELLINGTON CIRCLE,1.453590918,103.8211951
7986,509A,BEDOK NTH ST 3,1,1980,N,Y,N,N,N,N,0,509A BEDOK NTH ST 3,1.332873992,103.9310485
7987,509A,WOODLANDS DR 14,5,1997,N,N,N,N,Y,N,0,509A WOODLANDS DR 14,1.433307967,103.7892999
7989,509A,YISHUN AVE 4,13,2017,Y,N,N,N,N,N,108,509A YISHUN AVE 4,1.413710707,103.8395282
7990,509B,BEDOK NTH ST 3,15,2001,Y,N,N,Y,N,N,130,509B BEDOK NTH ST 3,1.333693456,103.9303969
7992,509B,YISHUN AVE 4,13,2016,Y,N,N,Y,N,N,96,509B YISHUN AVE 4,1.41379976,103.8401319
7993,509C,BEDOK NTH ST 3,1,2002,N,N,N,N,N,Y,0,509C BEDOK NTH ST 3,1.333543286,103.9304245
7994,509C,YISHUN AVE 4,13,2016,Y,N,N,Y,N,N,96,509C YISHUN AVE 4,1.414303425,103.840417
7997,51,CHIN SWEE RD,20,1973,Y,Y,N,Y,N,N,328,51 CHIN SWEE RD,1.287403008,103.8420298
7999,51,HAVELOCK RD,5,2011,N,Y,N,Y,Y,N,0,51 HAVELOCK RD,1.289946185,103.8276797
8004,51,MARINE TER,16,1974,Y,N,N,N,N,N,270,51 MARINE TER,1.306341633,103.9161996
8006,51,OLD AIRPORT RD,2,2007,N,Y,Y,Y,N,N,0,51 OLD AIRPORT RD,1.308251847,103.8858087
8011,51A,TELOK BLANGAH DR,1,2004,N,N,N,N,N,Y,0,51A TELOK BLANGAH DR,1.273490868,103.810893
8014,510,BISHAN ST 13,3,1989,N,Y,N,N,N,N,0,510 BISHAN ST 13,1.348888439,103.849692
8022,510,TAMPINES CTRL 1,4,1990,N,Y,N,N,N,N,0,510 TAMPINES CTRL 1,1.35480108,103.9444581
8025,510A,JELAPANG RD,5,1996,N,N,N,N,Y,N,0,510A JELAPANG RD,1.387043733,103.7689836
8027,510A,YISHUN ST 51,13,2016,Y,N,N,N,N,N,288,510A YISHUN ST 51,1.414745649,103.8408065
8029,510B,YISHUN ST 51,13,2016,Y,N,N,N,N,N,288,510B YISHUN ST 51,1.415250594,103.8413075
8031,511,BEDOK NTH ST 3,1,1979,N,N,Y,N,N,N,0,511 BEDOK NTH ST 3,1.333219933,103.9305815
8032,511,BISHAN ST 13,1,1989,N,Y,N,N,N,N,0,511 BISHAN ST 13,1.349231394,103.8498966
8034,511,CANBERRA RD,3,2003,N,Y,Y,N,N,N,0,511 CANBERRA RD,1.453610144,103.8196256
8043,511,YISHUN ST 51,1,2017,N,N,N,N,N,Y,0,511 YISHUN ST 51,1.415129794,103.8418665
8044,511A,BEDOK NTH ST 3,1,1980,N,Y,N,N,N,N,0,511A BEDOK NTH ST 3,1.332975578,103.9306772
8045,511A,CHOA CHU KANG ST 51,4,1993,N,N,N,N,Y,N,0,511A CHOA CHU KANG ST 51,1.388590555,103.7411067
8046,511A,PASIR RIS ST 52,1,1994,N,N,N,N,N,Y,0,511A PASIR RIS ST 52,1.374803804,103.9441815
