,address,town,blk_no,street,max_floor_lvl,latitude,longitude
28923,389 YISHUN AVE 6,YISHUN,389,YISHUN AVE 6,12.0,1.42959,103.8482866
28930,38A BENDEMEER RD,KALLANG/WHAMPOA,38A,BENDEMEER RD,26.0,1.3201502,103.8668455
28936,38B BENDEMEER RD,KALLANG/WHAMPOA,38B,BENDEMEER RD,26.0,1.32064985,103.866843
28946,38C BENDEMEER RD,KALLANG/WHAMPOA,38C,BENDEMEER RD,25.0,1.3212118,103.8668346
28956,38D BENDEMEER RD,KALLANG/WHAMPOA,38D,BENDEMEER RD,24.0,1.3217621,103.866818
28966,39 BEDOK STH RD,BEDOK,39,BEDOK STH RD,15.0,1.3214673,103.9396299
28973,39 CAMBRIDGE RD,KALLANG/WHAMPOA,39,CAMBRIDGE RD,15.0,1.3163757,103.8484834
28981,39 CIRCUIT RD,GEYLANG,39,CIRCUIT RD,10.0,1.3275081,103.88564330000001
28985,39 JLN BAHAGIA,KALLANG/WHAMPOA,39,JLN BAHAGIA,2.0,1.3272752,103.85607850000001
28986,39 JLN RUMAH TINGGI,BUKIT MERAH,39,JLN RUMAH TINGGI,22.0,1.28871865,103.81012979999998
28992,39 JLN TIGA,GEYLANG,39,JLN TIGA,19.0,1.3078217,103.8849604
28998,39 TEBAN GDNS RD,JURONG EAST,39,TEBAN GDNS RD,5.0,1.3213859,103.7428219
29000,39 TELOK BLANGAH RISE,BUKIT MERAH,39,TELOK BLANGAH RISE,25.0,1.27176865,103.8225919
29005,39 UPP BOON KENG RD,KALLANG/WHAMPOA,39,UPP BOON KENG RD,25.0,1.318728,103.8742424
29011,390 BT BATOK WEST AVE 5,BUKIT BATOK,390,BT BATOK WEST AVE 5,25.0,1.3653443,103.752584
29017,390 TAMPINES AVE 7,TAMPINES,390,TAMPINES AVE 7,12.0,1.35611815,103.9576316
29022,390 YISHUN AVE 6,YISHUN,390,YISHUN AVE 6,12.0,1.4292335,103.8484118
29030,391 BT BATOK WEST AVE 5,BUKIT BATOK,391,BT BATOK WEST AVE 5,25.0,1.3657232,103.752372
29036,391 TAMPINES AVE 7,TAMPINES,391,TAMPINES AVE 7,12.0,1.35571155,103.9580893
29045,391 YISHUN AVE 6,YISHUN,391,YISHUN AVE 6,11.0,1.42945585,103.8491646
29052,392 BT BATOK WEST AVE 5,BUKIT BATOK,392,BT BATOK WEST AVE 5,25.0,1.36582345,103.75329949999998
29062,392 TAMPINES AVE 7,TAMPINES,392,TAMPINES AVE 7,12.0,1.35530125,103.9576392
29067,392 YISHUN AVE 6,YISHUN,392,YISHUN AVE 6,11.0,1.4286672,103.849193
29073,393 BT BATOK WEST AVE 5,BUKIT BATOK,393,BT BATOK WEST AVE 5,25.0,1.3664334,103.7532745
29084,393 TAMPINES AVE 7,TAMPINES,393,TAMPINES AVE 7,12.0,1.35528845,103.956628
29089,393 YISHUN AVE 6,YISHUN,393,YISHUN AVE 6,12.0,1.4285368,103.8484981
29097,394 BT BATOK WEST AVE 5,BUKIT BATOK,394,BT BATOK WEST AVE 5,25.0,1.3663636,103.7528391
29107,394 TAMPINES AVE 7,TAMPINES,394,TAMPINES AVE 7,12.0,1.355239,103.9558777
29113,394 YISHUN AVE 6,YISHUN,394,YISHUN AVE 6,12.0,1.42887845,103.8484005
29121,395 BT BATOK WEST AVE 5,BUKIT BATOK,395,BT BATOK WEST AVE 5,25.0,1.363978,103.7519876
29127,395 TAMPINES AVE 7,TAMPINES,395,TAMPINES AVE 7,12.0,1.3555686499999997,103.9558422
29133,395 YISHUN RING RD,YISHUN,395,YISHUN RING RD,12.0,1.4288378,103.8472484
29140,396 TAMPINES AVE 7,TAMPINES,396,TAMPINES AVE 7,12.0,1.3556914,103.9564665
29145,396 YISHUN AVE 6,YISHUN,396,YISHUN AVE 6,4.0,1.42836,103.8469394
29148,397 YISHUN AVE 6,YISHUN,397,YISHUN AVE 6,12.0,1.4277627,103.847162
29156,398 YISHUN RING RD,YISHUN,398,YISHUN RING RD,12.0,1.4276606,103.8465093
29162,399 YISHUN AVE 6,YISHUN,399,YISHUN AVE 6,12.0,1.4274718,103.8472693
29170,39A BENDEMEER RD,KALLANG/WHAMPOA,39A,BENDEMEER RD,27.0,1.3202362,103.8663098
29180,3A GEYLANG SERAI,GEYLANG,3A,GEYLANG SERAI,19.0,1.3175221,103.8988774
29186,3A HOLLAND CL,QUEENSTOWN,3A,HOLLAND CL,14.0,1.30856785,103.7969376
29193,3A UPP BOON KENG RD,KALLANG/WHAMPOA,3A,UPP BOON KENG RD,26.0,1.3139661,103.8723863
29204,3B UPP BOON KENG RD,KALLANG/WHAMPOA,3B,UPP BOON KENG RD,25.0,1.3141841,103.8726691
29214,3C UPP BOON KENG RD,KALLANG/WHAMPOA,3C,UPP BOON KENG RD,26.0,1.3138205,103.8730604
29222,3D UPP BOON KENG RD,KALLANG/WHAMPOA,3D,UPP BOON KENG RD,26.0,1.31338635,103.87268309999999
29229,4 BEDOK STH AVE 1,BEDOK,4,BEDOK STH AVE 1,14.0,1.3224252,103.9332093
29234,4 BOON KENG RD,KALLANG/WHAMPOA,4,BOON KENG RD,13.0,1.3160411,103.8599428
29237,4 CHANGI VILLAGE RD,PASIR RIS,4,CHANGI VILLAGE RD,4.0,1.3899546,103.9879049
29239,4 DELTA AVE,BUKIT MERAH,4,DELTA AVE,16.0,1.29179375,103.8265561
29245,4 EVERTON PK,BUKIT MERAH,4,EVERTON PK,12.0,1.27690295,103.8400786
29252,4 GHIM MOH RD,QUEENSTOWN,4,GHIM MOH RD,15.0,1.3130654,103.787588
29258,4 HAIG RD,GEYLANG,4,HAIG RD,13.0,1.3121087,103.8971649
29264,4 HOLLAND CL,QUEENSTOWN,4,HOLLAND CL,22.0,1.30814235,103.7960138
29274,4 JLN BATU,KALLANG/WHAMPOA,4,JLN BATU,10.0,1.3018623,103.8840308
29279,4 JLN BT HO SWEE,BUKIT MERAH,4,JLN BT HO SWEE,9.0,1.2874406,103.8312719
29281,4 JOO CHIAT RD,GEYLANG,4,JOO CHIAT RD,18.0,1.3152347,103.8984795
29287,4 LOR 7 TOA PAYOH,TOA PAYOH,4,LOR 7 TOA PAYOH,11.0,1.3390393,103.8554033
29291,4 LOR LEW LIAN,SERANGOON,4,LOR LEW LIAN,14.0,1.35022625,103.87646379999998
29296,4 MARINE TER,MARINE PARADE,4,MARINE TER,12.0,1.3056937,103.9169472
29300,4 QUEEN'S RD,BUKIT TIMAH,4,QUEEN'S RD,12.0,1.3191522,103.8083721
29304,4 SAGO LANE,CENTRAL AREA,4,SAGO LANE,21.0,1.28177045,103.8428944
29309,4 TECK WHYE AVE,CHOA CHU KANG,4,TECK WHYE AVE,12.0,1.38193745,103.7527692
29315,4 TG PAGAR PLAZA,CENTRAL AREA,4,TG PAGAR PLAZA,18.0,1.2759129,103.84270230000001
29321,4 TOH YI DR,BUKIT TIMAH,4,TOH YI DR,13.0,1.33853615,103.7744043
29330,4 UPP ALJUNIED LANE,TOA PAYOH,4,UPP ALJUNIED LANE,10.0,1.3335547,103.8790926
29334,40 BEDOK STH RD,BEDOK,40,BEDOK STH RD,15.0,1.33247005,103.9328166
29344,40 BEO CRES,BUKIT MERAH,40,BEO CRES,10.0,1.2888364,103.82734359999999
29349,40 CAMBRIDGE RD,KALLANG/WHAMPOA,40,CAMBRIDGE RD,10.0,1.31593315,103.8482896
29353,40 CHAI CHEE AVE,BEDOK,40,CHAI CHEE AVE,14.0,1.3253011,103.9232041
29358,40 CIRCUIT RD,GEYLANG,40,CIRCUIT RD,10.0,1.3262069499999998,103.889507
29362,40 HOLLAND DR,QUEENSTOWN,40,HOLLAND DR,4.0,1.30716715,103.7935224
29364,40 JLN BAHAGIA,KALLANG/WHAMPOA,40,JLN BAHAGIA,2.0,1.3270727,103.8565762
29365,40 JLN RUMAH TINGGI,BUKIT MERAH,40,JLN RUMAH TINGGI,22.0,1.2887231,103.8105127
29371,40 SIMS DR,GEYLANG,40,SIMS DR,12.0,1.3174123,103.87618049999999
29377,40 TANGLIN HALT RD,QUEENSTOWN,40,TANGLIN HALT RD,10.0,1.29796775,103.7986229
29380,40 TEBAN GDNS RD,JURONG EAST,40,TEBAN GDNS RD,14.0,1.3213753,103.7419953
29384,40 TELOK BLANGAH RISE,BUKIT MERAH,40,TELOK BLANGAH RISE,15.0,1.27168435,103.8236302
29389,401 ADMIRALTY LINK,SEMBAWANG,401,ADMIRALTY LINK,15.0,1.4542236,103.8158092
29399,401 ANG MO KIO AVE 10,ANG MO KIO,401,ANG MO KIO AVE 10,25.0,1.3611003,103.8554186
29403,401 BEDOK NTH AVE 3,BEDOK,401,BEDOK NTH AVE 3,13.0,1.33093895,103.9336714
29411,401 CHOA CHU KANG AVE 3,CHOA CHU KANG,401,CHOA CHU KANG AVE 3,14.0,1.37956375,103.7399548
29416,401 FAJAR RD,BUKIT PANJANG,401,FAJAR RD,12.0,1.3813061,103.768945
29424,401 HOUGANG AVE 10,HOUGANG,401,HOUGANG AVE 10,13.0,1.3748524,103.8969469
29433,401 JURONG WEST ST 42,JURONG WEST,401,JURONG WEST ST 42,12.0,1.3534743,103.7212907
29437,401 PANDAN GDNS,JURONG EAST,401,PANDAN GDNS,25.0,1.32033255,103.7503258
29441,401 SERANGOON AVE 1,SERANGOON,401,SERANGOON AVE 1,13.0,1.34628285,103.8733039
29452,401 SIN MING AVE,BISHAN,401,SIN MING AVE,4.0,1.3624982,103.833269
29453,401 TAMPINES ST 41,TAMPINES,401,TAMPINES ST 41,12.0,1.3571648,103.9449015
29462,401 WOODLANDS ST 41,WOODLANDS,401,WOODLANDS ST 41,9.0,1.4303632,103.7728415
29468,401 YISHUN AVE 6,YISHUN,401,YISHUN AVE 6,4.0,1.4270563,103.8470261
29471,402 ADMIRALTY LINK,SEMBAWANG,402,ADMIRALTY LINK,15.0,1.4538407,103.8155844
29479,402 ANG MO KIO AVE 10,ANG MO KIO,402,ANG MO KIO AVE 10,25.0,1.361481,103.8552906
29483,402 BEDOK NTH AVE 3,BEDOK,402,BEDOK NTH AVE 3,13.0,1.3305347,103.9337193
29491,402 BT BATOK WEST AVE 7,BUKIT BATOK,402,BT BATOK WEST AVE 7,17.0,1.3647028,103.744307
29497,402 CHOA CHU KANG AVE 3,CHOA CHU KANG,402,CHOA CHU KANG AVE 3,11.0,1.3792012500000002,103.73953620000002
29501,402 FAJAR RD,BUKIT PANJANG,402,FAJAR RD,13.0,1.3817463000000003,103.768887
29507,402 HOUGANG AVE 10,HOUGANG,402,HOUGANG AVE 10,13.0,1.3745306,103.8965935
29511,402 JURONG WEST ST 42,JURONG WEST,402,JURONG WEST ST 42,12.0,1.35339325,103.7224738
29517,402 PANDAN GDNS,JURONG EAST,402,PANDAN GDNS,12.0,1.3207203,103.7496771
29521,402 SERANGOON AVE 1,SERANGOON,402,SERANGOON AVE 1,13.0,1.3467119,103.8728996
29527,402 SIN MING AVE,BISHAN,402,SIN MING AVE,25.0,1.3627589,103.8327623
29533,402 TAMPINES ST 41,TAMPINES,402,TAMPINES ST 41,4.0,1.35736205,103.9455049
29536,402 WOODLANDS ST 41,WOODLANDS,402,WOODLANDS ST 41,12.0,1.4310382,103.7722655
29544,402 YISHUN RING RD,YISHUN,402,YISHUN RING RD,12.0,1.42649985,103.84728320000002
29551,403 ADMIRALTY LINK,SEMBAWANG,403,ADMIRALTY LINK,15.0,1.45394475,103.8161498
29561,403 ANG MO KIO AVE 10,ANG MO KIO,403,ANG MO KIO AVE 10,12.0,1.3613282,103.8546166
29568,403 BEDOK NTH AVE 3,BEDOK,403,BEDOK NTH AVE 3,11.0,1.3297727,103.9339043
29572,403 BT BATOK WEST AVE 7,BUKIT BATOK,403,BT BATOK WEST AVE 7,14.0,1.3651725,103.7448056
29577,403 CHOA CHU KANG AVE 3,CHOA CHU KANG,403,CHOA CHU KANG AVE 3,4.0,1.37954065,103.7389031
29579,403 FAJAR RD,BUKIT PANJANG,403,FAJAR RD,12.0,1.3817463,103.768887
29586,403 HOUGANG AVE 10,HOUGANG,403,HOUGANG AVE 10,4.0,1.3747364,103.8963367
29589,403 JURONG WEST ST 42,JURONG WEST,403,JURONG WEST ST 42,12.0,1.35384065,103.7214841
29593,403 PANDAN GDNS,JURONG EAST,403,PANDAN GDNS,15.0,1.3202962,103.74944030000002
29598,403 SERANGOON AVE 1,SERANGOON,403,SERANGOON AVE 1,11.0,1.34640515,103.8725409
29602,403 SIN MING AVE,BISHAN,403,SIN MING AVE,13.0,1.36281035,103.8331113
29609,403 TAMPINES ST 41,TAMPINES,403,TAMPINES ST 41,12.0,1.3575377,103.9449112
29615,403 WOODLANDS ST 41,WOODLANDS,403,WOODLANDS ST 41,12.0,1.4306822,103.7722722
29622,403 YISHUN AVE 6,YISHUN,403,YISHUN AVE 6,12.0,1.42693205,103.8485532
29630,403A FERNVALE LANE,SENGKANG,403A,FERNVALE LANE,22.0,1.388969,103.8732061
29639,403B FERNVALE LANE,SENGKANG,403B,FERNVALE LANE,22.0,1.38880215,103.8729943
29650,403C FERNVALE LANE,SENGKANG,403C,FERNVALE LANE,22.0,1.38838695,103.8729862
29662,403D FERNVALE LANE,SENGKANG,403D,FERNVALE LANE,25.0,1.38816125,103.8731199
29674,404 ADMIRALTY LINK,SEMBAWANG,404,ADMIRALTY LINK,15.0,1.45432815,103.8163804
29684,404 ANG MO KIO AVE 10,ANG MO KIO,404,ANG MO KIO AVE 10,12.0,1.3616848,103.8546576
29690,404 BEDOK NTH AVE 3,BEDOK,404,BEDOK NTH AVE 3,11.0,1.3293495,103.9339634
29694,404 BT BATOK WEST AVE 7,BUKIT BATOK,404,BT BATOK WEST AVE 7,14.0,1.3654938,103.7451448
29698,404 CHOA CHU KANG AVE 3,CHOA CHU KANG,404,CHOA CHU KANG AVE 3,11.0,1.38002305,103.7387832
29701,404 FAJAR RD,BUKIT PANJANG,404,FAJAR RD,13.0,1.3817463000000003,103.768887
29708,404 HOUGANG AVE 10,HOUGANG,404,HOUGANG AVE 10,4.0,1.373926,103.89579299999998
29711,404 JURONG WEST ST 42,JURONG WEST,404,JURONG WEST ST 42,9.0,1.353822,103.7221609
29716,404 PANDAN GDNS,JURONG EAST,404,PANDAN GDNS,15.0,1.3198001,103.7492963
29721,404 SERANGOON AVE 1,SERANGOON,404,SERANGOON AVE 1,11.0,1.34721035,103.8725875
29728,404 SIN MING AVE,BISHAN,404,SIN MING AVE,4.0,1.362676,103.8342567
29729,404 TAMPINES ST 41,TAMPINES,404,TAMPINES ST 41,4.0,1.3577307,103.94435330000002
29732,404 WOODLANDS ST 41,WOODLANDS,404,WOODLANDS ST 41,12.0,1.4302854,103.772291
29737,404 YISHUN AVE 6,YISHUN,404,YISHUN AVE 6,12.0,1.4265582,103.8484045
29745,404A FERNVALE LANE,SENGKANG,404A,FERNVALE LANE,22.0,1.3884638,103.8737679
29755,404B FERNVALE LANE,SENGKANG,404B,FERNVALE LANE,25.0,1.3882662,103.8734899
29765,405 ADMIRALTY LINK,SEMBAWANG,405,ADMIRALTY LINK,15.0,1.4533661,103.8160404
29770,405 ANG MO KIO AVE 10,ANG MO KIO,405,ANG MO KIO AVE 10,12.0,1.3615936000000002,103.85380729999999
29777,405 BEDOK NTH AVE 3,BEDOK,405,BEDOK NTH AVE 3,25.0,1.32870815,103.9341207
29783,405 BT BATOK WEST AVE 7,BUKIT BATOK,405,BT BATOK WEST AVE 7,16.0,1.36575775,103.7454556
29787,405 CHOA CHU KANG AVE 3,CHOA CHU KANG,405,CHOA CHU KANG AVE 3,16.0,1.38005115,103.7396412
29792,405 FAJAR RD,BUKIT PANJANG,405,FAJAR RD,4.0,1.3806526,103.7689324
29794,405 HOUGANG AVE 10,HOUGANG,405,HOUGANG AVE 10,13.0,1.3740653,103.8963459
29798,405 JURONG WEST ST 42,JURONG WEST,405,JURONG WEST ST 42,11.0,1.35436065,103.72119729999999
29802,405 PANDAN GDNS,JURONG EAST,405,PANDAN GDNS,25.0,1.3192074,103.7496705
29807,405 PASIR RIS DR 6,PASIR RIS,405,PASIR RIS DR 6,13.0,1.3737215999999999,103.95596810000002
29817,405 SERANGOON AVE 1,SERANGOON,405,SERANGOON AVE 1,11.0,1.3477381500000003,103.8729617
29822,405 SIN MING AVE,BISHAN,405,SIN MING AVE,25.0,1.3628505,103.8347458
29828,405 TAMPINES ST 41,TAMPINES,405,TAMPINES ST 41,12.0,1.3578346000000001,103.9449039
29834,405 WOODLANDS ST 41,WOODLANDS,405,WOODLANDS ST 41,12.0,1.4299837,103.7722561
29841,405 YISHUN AVE 6,YISHUN,405,YISHUN AVE 6,11.0,1.42684315,103.8492731
29848,405A FERNVALE LANE,SENGKANG,405A,FERNVALE LANE,22.0,1.3888532,103.8738418
29857,405B FERNVALE LANE,SENGKANG,405B,FERNVALE LANE,22.0,1.3890534,103.8736522
29864,405C FERNVALE LANE,SENGKANG,405C,FERNVALE LANE,22.0,1.38918375,103.873415
29874,406 BEDOK NTH AVE 3,BEDOK,406,BEDOK NTH AVE 3,25.0,1.32820645,103.9345206
29879,406 BT BATOK WEST AVE 7,BUKIT BATOK,406,BT BATOK WEST AVE 7,20.0,1.36521805,103.7459224
29882,406 CHOA CHU KANG AVE 3,CHOA CHU KANG,406,CHOA CHU KANG AVE 3,16.0,1.3801955,103.74004939999999
29887,406 FAJAR RD,BUKIT PANJANG,406,FAJAR RD,13.0,1.3806526,103.7689324
29896,406 HOUGANG AVE 10,HOUGANG,406,HOUGANG AVE 10,13.0,1.3736955,103.896076
29900,406 JURONG WEST ST 42,JURONG WEST,406,JURONG WEST ST 42,12.0,1.3543021499999999,103.7224537
29903,406 PANDAN GDNS,JURONG EAST,406,PANDAN GDNS,15.0,1.31879695,103.7492547
29908,406 PASIR RIS DR 6,PASIR RIS,406,PASIR RIS DR 6,13.0,1.3737907500000002,103.95542189999999
29914,406 SEMBAWANG DR,SEMBAWANG,406,SEMBAWANG DR,14.0,1.4530116,103.8171823
29919,406 SERANGOON AVE 1,SERANGOON,406,SERANGOON AVE 1,4.0,1.34757915,103.8732369
29920,406 SIN MING AVE,BISHAN,406,SIN MING AVE,13.0,1.3630843,103.8337708
29929,406 TAMPINES ST 41,TAMPINES,406,TAMPINES ST 41,12.0,1.35808695,103.9459777
29937,406 WOODLANDS ST 41,WOODLANDS,406,WOODLANDS ST 41,14.0,1.429145,103.7725024
29948,406 YISHUN AVE 6,YISHUN,406,YISHUN AVE 6,11.0,1.4260437999999998,103.849303
29955,406A FERNVALE RD,SENGKANG,406A,FERNVALE RD,16.0,1.38808855,103.8742582
29966,406B FERNVALE RD,SENGKANG,406B,FERNVALE RD,21.0,1.38848945,103.8743181
29976,406C FERNVALE RD,SENGKANG,406C,FERNVALE RD,24.0,1.3886303,103.8746951
29986,407 ANG MO KIO AVE 10,ANG MO KIO,407,ANG MO KIO AVE 10,2.0,1.362097,103.8554722
29987,407 BEDOK NTH AVE 3,BEDOK,407,BEDOK NTH AVE 3,25.0,1.32844535,103.9337166
29990,407 BT BATOK WEST AVE 4,BUKIT BATOK,407,BT BATOK WEST AVE 4,12.0,1.3648352499999998,103.7458443
29998,407 CHOA CHU KANG AVE 3,CHOA CHU KANG,407,CHOA CHU KANG AVE 3,14.0,1.3802856,103.741045
30002,407 FAJAR RD,BUKIT PANJANG,407,FAJAR RD,12.0,1.3817463,103.768887
30008,407 HOUGANG AVE 10,HOUGANG,407,HOUGANG AVE 10,13.0,1.37316025,103.8959609
30012,407 JURONG WEST ST 42,JURONG WEST,407,JURONG WEST ST 42,13.0,1.354761,103.7215288
30016,407 PANDAN GDNS,JURONG EAST,407,PANDAN GDNS,15.0,1.31886565,103.7486564
30021,407 PASIR RIS DR 6,PASIR RIS,407,PASIR RIS DR 6,13.0,1.3736403,103.9545345
30027,407 SEMBAWANG DR,SEMBAWANG,407,SEMBAWANG DR,14.0,1.45338165,103.8168
30037,407 SERANGOON AVE 1,SERANGOON,407,SERANGOON AVE 1,13.0,1.34709245,103.8731647
30044,407 SIN MING AVE,BISHAN,407,SIN MING AVE,13.0,1.36342845,103.8342689
30053,407 TAMPINES ST 41,TAMPINES,407,TAMPINES ST 41,12.0,1.3582131,103.9449973
30059,407 YISHUN AVE 6,YISHUN,407,YISHUN AVE 6,12.0,1.42590635,103.8484474
30066,407A FERNVALE RD,SENGKANG,407A,FERNVALE RD,26.0,1.3884585,103.8752596
30078,407B FERNVALE RD,SENGKANG,407B,FERNVALE RD,26.0,1.3889425,103.875214
30090,408 ANG MO KIO AVE 10,ANG MO KIO,408,ANG MO KIO AVE 10,2.0,1.36228125,103.8543388
30091,408 BEDOK NTH AVE 2,BEDOK,408,BEDOK NTH AVE 2,12.0,1.32850075,103.9329117
30095,408 BT BATOK WEST AVE 4,BUKIT BATOK,408,BT BATOK WEST AVE 4,12.0,1.3647993000000003,103.7450266
30102,408 CHOA CHU KANG AVE 3,CHOA CHU KANG,408,CHOA CHU KANG AVE 3,11.0,1.37992015,103.740579
30106,408 FAJAR RD,BUKIT PANJANG,408,FAJAR RD,11.0,1.3817463,103.768887
30113,408 HOUGANG AVE 10,HOUGANG,408,HOUGANG AVE 10,13.0,1.37303715,103.89504470000001
30120,408 JURONG WEST ST 42,JURONG WEST,408,JURONG WEST ST 42,11.0,1.35463995,103.72305650000001
30125,408 PANDAN GDNS,JURONG EAST,408,PANDAN GDNS,12.0,1.31815355,103.7489696
30129,408 PASIR RIS DR 6,PASIR RIS,408,PASIR RIS DR 6,13.0,1.37336835,103.9535698
30133,408 SEMBAWANG DR,SEMBAWANG,408,SEMBAWANG DR,14.0,1.45342185,103.8175836
30138,408 SERANGOON AVE 1,SERANGOON,408,SERANGOON AVE 1,13.0,1.34719615,103.8735279
30146,408 SIN MING AVE,BISHAN,408,SIN MING AVE,25.0,1.36333125,103.8347983
30150,408 TAMPINES ST 41,TAMPINES,408,TAMPINES ST 41,12.0,1.3588163,103.94524790000001
30157,408 WOODLANDS ST 41,WOODLANDS,408,WOODLANDS ST 41,13.0,1.4287691,103.7725906
30168,408 YISHUN AVE 6,YISHUN,408,YISHUN AVE 6,12.0,1.42624035,103.8484211
30176,408A FERNVALE RD,SENGKANG,408A,FERNVALE RD,25.0,1.3887547499999997,103.8762142
30187,408B FERNVALE RD,SENGKANG,408B,FERNVALE RD,25.0,1.38909795,103.8759819
30198,408C FERNVALE RD,SENGKANG,408C,FERNVALE RD,25.0,1.38925895,103.8764986
30210,409 BEDOK NTH AVE 2,BEDOK,409,BEDOK NTH AVE 2,11.0,1.3280768500000002,103.9329563
30216,409 BT BATOK WEST AVE 4,BUKIT BATOK,409,BT BATOK WEST AVE 4,12.0,1.3644729,103.7458633
30224,409 CHOA CHU KANG AVE 3,CHOA CHU KANG,409,CHOA CHU KANG AVE 3,14.0,1.3809986,103.74206819999999
30229,409 HOUGANG AVE 10,HOUGANG,409,HOUGANG AVE 10,13.0,1.37375295,103.8950132
30235,409 JURONG WEST ST 42,JURONG WEST,409,JURONG WEST ST 42,13.0,1.35407745,103.7253197
30242,409 PANDAN GDNS,JURONG EAST,409,PANDAN GDNS,12.0,1.3184809,103.747535
30246,409 PASIR RIS DR 6,PASIR RIS,409,PASIR RIS DR 6,11.0,1.37301835,103.9542394
30252,409 SAUJANA RD,BUKIT PANJANG,409,SAUJANA RD,12.0,1.38275825,103.7678362
30258,409 SEMBAWANG DR,SEMBAWANG,409,SEMBAWANG DR,14.0,1.4530607,103.8176719
30266,409 SERANGOON CTRL,SERANGOON,409,SERANGOON CTRL,13.0,1.3481535,103.8744946
30273,409 TAMPINES ST 41,TAMPINES,409,TAMPINES ST 41,12.0,1.35902815,103.9448664
30280,409 WOODLANDS ST 41,WOODLANDS,409,WOODLANDS ST 41,14.0,1.42904805,103.7733109
30289,409 YISHUN RING RD,YISHUN,409,YISHUN RING RD,12.0,1.4261522,103.84728169999998
30297,409A FERNVALE RD,SENGKANG,409A,FERNVALE RD,25.0,1.38909945,103.8771425
30305,409B FERNVALE RD,SENGKANG,409B,FERNVALE RD,25.0,1.38945465,103.877113
30315,41 BEDOK STH RD,BEDOK,41,BEDOK STH RD,16.0,1.32882275,103.9516568
30320,41 CAMBRIDGE RD,KALLANG/WHAMPOA,41,CAMBRIDGE RD,8.0,1.3161227,103.8503356
30323,41 CHAI CHEE ST,BEDOK,41,CHAI CHEE ST,14.0,1.3269027,103.9183359
30333,41 CIRCUIT RD,GEYLANG,41,CIRCUIT RD,18.0,1.3271011,103.8861667
30336,41 HOLLAND DR,QUEENSTOWN,41,HOLLAND DR,4.0,1.3075848,103.793476
30338,41 JLN BAHAGIA,KALLANG/WHAMPOA,41,JLN BAHAGIA,2.0,1.3273512,103.8562066
30339,41 KIM CHENG ST,BUKIT MERAH,41,KIM CHENG ST,4.0,1.2845581,103.8319423
30341,41 SIMS DR,GEYLANG,41,SIMS DR,16.0,1.3169362,103.8755843
30348,41 STIRLING RD,QUEENSTOWN,41,STIRLING RD,2.0,1.29862515,103.801961
30349,41 TANGLIN HALT RD,QUEENSTOWN,41,TANGLIN HALT RD,10.0,1.29820375,103.7986229
30351,41 TEBAN GDNS RD,JURONG EAST,41,TEBAN GDNS RD,12.0,1.3216011,103.7409092
30355,410 BEDOK NTH AVE 2,BEDOK,410,BEDOK NTH AVE 2,11.0,1.3278640500000003,103.9318518
30360,410 BT BATOK WEST AVE 4,BUKIT BATOK,410,BT BATOK WEST AVE 4,12.0,1.3644317499999998,103.74503760000002
30368,410 C'WEALTH AVE WEST,CLEMENTI,410,C'WEALTH AVE WEST,14.0,1.3114518000000002,103.76971159999998
30373,410 CHOA CHU KANG AVE 3,CHOA CHU KANG,410,CHOA CHU KANG AVE 3,11.0,1.38063585,103.7416049
30377,410 HOUGANG AVE 10,HOUGANG,410,HOUGANG AVE 10,4.0,1.3740145,103.8946393
30380,410 JURONG WEST ST 42,JURONG WEST,410,JURONG WEST ST 42,11.0,1.3536312,103.7264642
30385,410 PANDAN GDNS,JURONG EAST,410,PANDAN GDNS,15.0,1.3190026,103.74745610000001
30390,410 PASIR RIS DR 6,PASIR RIS,410,PASIR RIS DR 6,4.0,1.37285045,103.9539293
30391,410 SAUJANA RD,BUKIT PANJANG,410,SAUJANA RD,16.0,1.3824911,103.7672849
30394,410 SEMBAWANG DR,SEMBAWANG,410,SEMBAWANG DR,14.0,1.45278705,103.8180539
30403,410 SERANGOON CTRL,SERANGOON,410,SERANGOON CTRL,13.0,1.3481862,103.8736548
30410,410 TAMPINES ST 41,TAMPINES,410,TAMPINES ST 41,12.0,1.35879605,103.9462588
30414,410 WOODLANDS ST 41,WOODLANDS,410,WOODLANDS ST 41,13.0,1.42869335,103.7733918
30421,410 YISHUN RING RD,YISHUN,410,YISHUN RING RD,12.0,1.4263141,103.8465011
30426,410A FERNVALE RD,SENGKANG,410A,FERNVALE RD,25.0,1.39019045,103.8759664
30432,410B FERNVALE RD,SENGKANG,410B,FERNVALE RD,25.0,1.3897983000000003,103.8761813
30438,410C FERNVALE RD,SENGKANG,410C,FERNVALE RD,25.0,1.3899406,103.87645860000002
30444,411 ANG MO KIO AVE 10,ANG MO KIO,411,ANG MO KIO AVE 10,12.0,1.3634203,103.85528
30448,411 BEDOK NTH AVE 2,BEDOK,411,BEDOK NTH AVE 2,12.0,1.32828785,103.931809
30452,411 BT BATOK WEST AVE 4,BUKIT BATOK,411,BT BATOK WEST AVE 4,12.0,1.36390125,103.7456928
30460,411 C'WEALTH AVE WEST,CLEMENTI,411,C'WEALTH AVE WEST,14.0,1.31088855,103.7696621
30465,411 CHOA CHU KANG AVE 3,CHOA CHU KANG,411,CHOA CHU KANG AVE 3,16.0,1.3808858,103.7411072
30470,411 EUNOS RD 5,GEYLANG,411,EUNOS RD 5,17.0,1.31869815,103.8995074
