,address,town,blk_no,street,max_floor_lvl,latitude,longitude
445,102 BEDOK NTH AVE 4,BEDOK,102,BEDOK NTH AVE 4,14.0,1.33388125,103.9374603
453,102 BEDOK RESERVOIR RD,BEDOK,102,BEDOK RESERVOIR RD,4.0,1.32846755,103.9092609
455,102 BISHAN ST 12,BISHAN,102,BISHAN ST 12,25.0,1.3451543,103.8479834
459,102 BT BATOK WEST AVE 6,BUKIT BATOK,102,BT BATOK WEST AVE 6,13.0,1.3475395,103.74750330000003
467,102 BT PURMEI RD,BUKIT MERAH,102,BT PURMEI RD,10.0,1.2720458,103.8267436
473,102 C'WEALTH CRES,QUEENSTOWN,102,C'WEALTH CRES,10.0,1.307856,103.80066869999999
478,102 CLEMENTI ST 14,CLEMENTI,102,CLEMENTI ST 14,4.0,1.32227305,103.7692953
479,102 GANGSA RD,BUKIT PANJANG,102,GANGSA RD,10.0,1.3791388,103.768161
484,102 HENDERSON CRES,BUKIT MERAH,102,HENDERSON CRES,14.0,1.2753484,103.8147842
489,102 HOUGANG AVE 1,HOUGANG,102,HOUGANG AVE 1,13.0,1.3350184,103.892416
496,102 JLN DUSUN,KALLANG/WHAMPOA,102,JLN DUSUN,25.0,1.3278468,103.8442199
501,102 JLN RAJAH,KALLANG/WHAMPOA,102,JLN RAJAH,12.0,1.32838715,103.85098859999998
505,102 JURONG EAST ST 13,JURONG EAST,102,JURONG EAST ST 13,12.0,1.3361293999999997,103.73852090000001
510,102 LENGKONG TIGA,BEDOK,102,LENGKONG TIGA,14.0,1.3255179,103.9108217
517,102 PASIR RIS ST 12,PASIR RIS,102,PASIR RIS ST 12,13.0,1.36743065,103.9582058
525,102 POTONG PASIR AVE 1,TOA PAYOH,102,POTONG PASIR AVE 1,16.0,1.33360965,103.8690753
534,102 RIVERVALE WALK,SENGKANG,102,RIVERVALE WALK,17.0,1.3821879,103.8999853
544,102 SERANGOON NTH AVE 1,SERANGOON,102,SERANGOON NTH AVE 1,4.0,1.37084425,103.8711278
546,102 SIMEI ST 1,TAMPINES,102,SIMEI ST 1,11.0,1.3412135,103.9511894
553,102 TAMPINES ST 11,TAMPINES,102,TAMPINES ST 11,11.0,1.34682575,103.9460375
561,102 TECK WHYE LANE,CHOA CHU KANG,102,TECK WHYE LANE,9.0,1.37731045,103.7544853
567,102 TOWNER RD,KALLANG/WHAMPOA,102,TOWNER RD,4.0,1.3205965,103.8620513
569,102 WOODLANDS ST 13,WOODLANDS,102,WOODLANDS ST 13,12.0,1.4361078,103.7812513
576,102A PUNGGOL FIELD,PUNGGOL,102A,PUNGGOL FIELD,17.0,1.398831,103.9058176
584,102B PUNGGOL FIELD,PUNGGOL,102B,PUNGGOL FIELD,17.0,1.3991946,103.9053838
590,102C PUNGGOL FIELD,PUNGGOL,102C,PUNGGOL FIELD,17.0,1.3988886,103.90501869999999
596,102D PUNGGOL FIELD,PUNGGOL,102D,PUNGGOL FIELD,16.0,1.3985843,103.9053721
606,103 AH HOOD RD,KALLANG/WHAMPOA,103,AH HOOD RD,25.0,1.32793585,103.8448388
611,103 ANG MO KIO AVE 3,ANG MO KIO,103,ANG MO KIO AVE 3,12.0,1.3709857,103.8393248
617,103 BEDOK NTH AVE 4,BEDOK,103,BEDOK NTH AVE 4,14.0,1.3334576,103.9375286
625,103 BEDOK RESERVOIR RD,BEDOK,103,BEDOK RESERVOIR RD,12.0,1.32876035,103.9096051
633,103 BISHAN ST 12,BISHAN,103,BISHAN ST 12,25.0,1.345517,103.848267
638,103 BT BATOK CTRL,BUKIT BATOK,103,BT BATOK CTRL,13.0,1.3482234,103.748063
646,103 BT PURMEI RD,BUKIT MERAH,103,BT PURMEI RD,11.0,1.2721228,103.8260191
653,103 CLEMENTI ST 14,CLEMENTI,103,CLEMENTI ST 14,14.0,1.3227124,103.7689055
660,103 GANGSA RD,BUKIT PANJANG,103,GANGSA RD,4.0,1.3787319,103.7685627
662,103 HENDERSON CRES,BUKIT MERAH,103,HENDERSON CRES,14.0,1.2753484000000002,103.8147842
667,103 HOUGANG AVE 1,HOUGANG,103,HOUGANG AVE 1,13.0,1.3553499,103.8904866
676,103 JLN RAJAH,KALLANG/WHAMPOA,103,JLN RAJAH,25.0,1.3273709,103.8529297
683,103 JURONG EAST ST 13,JURONG EAST,103,JURONG EAST ST 13,25.0,1.3366757,103.7380761
688,103 LENGKONG TIGA,BEDOK,103,LENGKONG TIGA,14.0,1.32592165,103.9107659
696,103 PASIR RIS ST 12,PASIR RIS,103,PASIR RIS ST 12,13.0,1.3678123500000001,103.958219
705,103 POTONG PASIR AVE 1,TOA PAYOH,103,POTONG PASIR AVE 1,4.0,1.33413935,103.8695675
707,103 RIVERVALE WALK,SENGKANG,103,RIVERVALE WALK,17.0,1.3832444,103.9006295
715,103 SERANGOON NTH AVE 1,SERANGOON,103,SERANGOON NTH AVE 1,13.0,1.3706697000000003,103.87029740000001
720,103 SPOTTISWOODE PK RD,BUKIT MERAH,103,SPOTTISWOODE PK RD,25.0,1.2747341,103.8353025
726,103 TAMPINES ST 11,TAMPINES,103,TAMPINES ST 11,10.0,1.34765335,103.9463435
733,103 TECK WHYE LANE,CHOA CHU KANG,103,TECK WHYE LANE,9.0,1.3771417,103.7535161
739,103 TOWNER RD,KALLANG/WHAMPOA,103,TOWNER RD,11.0,1.3207131,103.8616
746,103 WOODLANDS ST 13,WOODLANDS,103,WOODLANDS ST 13,4.0,1.4365928,103.7810649
748,103 YISHUN RING RD,YISHUN,103,YISHUN RING RD,4.0,1.4315467999999998,103.82933419999999
751,103A DEPOT RD,BUKIT MERAH,103A,DEPOT RD,25.0,1.28071795,103.8135359
757,103A EDGEFIELD PLAINS,PUNGGOL,103A,EDGEFIELD PLAINS,17.0,1.3983228,103.9048303
763,103B DEPOT RD,BUKIT MERAH,103B,DEPOT RD,20.0,1.2808166,103.8131738
771,103B EDGEFIELD PLAINS,PUNGGOL,103B,EDGEFIELD PLAINS,16.0,1.3978891,103.9046861
777,103C EDGEFIELD PLAINS,PUNGGOL,103C,EDGEFIELD PLAINS,16.0,1.3974333,103.9045057
783,104 ALJUNIED CRES,GEYLANG,104,ALJUNIED CRES,12.0,1.3200682,103.8828289
786,104 BEDOK NTH AVE 4,BEDOK,104,BEDOK NTH AVE 4,14.0,1.3332927,103.9366184
794,104 BEDOK RESERVOIR RD,BEDOK,104,BEDOK RESERVOIR RD,15.0,1.3292405,103.9098864
799,104 BISHAN ST 12,BISHAN,104,BISHAN ST 12,4.0,1.3457776,103.8481601
802,104 BT BATOK CTRL,BUKIT BATOK,104,BT BATOK CTRL,8.0,1.348997,103.7472936
805,104 BT PURMEI RD,BUKIT MERAH,104,BT PURMEI RD,12.0,1.2725589,103.8253847
